Generation;AvgFitness;MaxFitness;MinFitness;StdDevFitness;AvgStamina;MaxStamina;MinStamina;StdDevStamina;AvgSpeed;MaxSpeed;MinSpeed;StdDevSpeed;AvgEatNeed;MaxEatNeed;MinEatNeed;StdDevEatNeed;AvgFatSave;MaxFatSave;MinFatSave;StdDevFatSave
21;144,8962;153,3866;129,3517;7,4965;4,8712;5,1209;4,2011;0,1744;19,3110;20,0000;15,2172;1,1302;4,2237;5,3277;3,5138;0,3499;0,5725;1,0000;0,1745;0,2063
22;144,5138;153,4481;125,7291;8,3085;4,8883;5,1209;4,2936;0,1458;19,1592;20,0000;15,7245;1,2278;4,3058;5,5044;3,1687;0,3966;0,5872;1,0000;0,1644;0,2076
23;145,7674;153,4577;131,8643;7,0145;4,9071;5,1209;4,4583;0,1345;19,3265;20,1431;16,8515;1,0038;4,2549;4,9984;3,7331;0,2929;0,5445;0,9745;0,1517;0,1888
24;147,2366;153,4577;128,2415;7,2698;4,9103;5,0000;4,3164;0,1570;19,1736;20,0000;15,4343;1,2285;4,1822;4,5524;3,6651;0,2528;0,5489;0,9745;0,2248;0,1739
25;148,1379;153,4604;131,3484;5,6810;4,9287;5,0238;4,5983;0,1013;19,3137;20,0000;16,4328;0,9772;4,2220;4,5549;3,7014;0,2377;0,5761;1,0000;0,2565;0,1766
26;146,3615;153,4604;123,2052;7,3945;4,9130;5,0000;4,6364;0,1013;18,9901;20,1958;14,9859;1,2720;4,1995;4,5602;3,6092;0,2288;0,5278;0,9745;0,0944;0,2095
27;147,3593;153,4604;128,1819;6,3461;4,9402;5,0000;4,6578;0,0962;19,2779;20,0000;17,1154;0,8147;4,1939;4,5602;3,7992;0,1600;0,5732;0,9745;0,0856;0,1717
28;147,4997;153,4613;132,9897;6,3297;4,9390;5,0000;4,6578;0,1057;19,4416;20,0000;16,7201;0,8755;4,2608;4,5589;3,9882;0,1140;0,5322;0,8356;0,0856;0,2002
29;146,8115;153,4650;133,3959;6,4207;4,9286;5,0000;4,6483;0,1035;19,4896;20,1413;16,8840;0,8690;4,2605;4,5589;4,0685;0,1086;0,5498;1,0000;0,0220;0,2388
30;147,1752;153,4650;129,0206;7,8334;4,9221;5,0885;4,5179;0,1215;19,7597;20,1963;18,2529;0,4322;4,2511;4,4405;3,9909;0,1048;0,4923;0,8494;0,0000;0,2478
31;148,9309;153,4650;118,8136;7,9468;4,9362;5,0000;4,5445;0,0930;19,7671;20,0000;18,4042;0,3985;4,2246;4,4872;4,0116;0,0945;0,5136;0,9160;0,0040;0,2460
32;149,3812;153,4650;126,0357;6,2907;4,9260;5,0000;4,6011;0,1060;19,8140;20,1866;18,9270;0,2930;4,2173;4,5016;3,9588;0,1012;0,5553;0,9428;0,0040;0,2315
33;151,8023;153,4650;145,5878;1,9527;4,9518;5,0000;4,6121;0,0728;19,8837;20,0000;18,8750;0,2291;4,2169;4,4112;4,0099;0,0740;0,5196;0,9360;0,0040;0,2240
34;151,5339;153,4650;143,8618;2,1762;4,9559;5,1442;4,7822;0,0637;19,8302;20,0000;18,7031;0,2996;4,1949;4,3372;4,0385;0,0604;0,5315;0,9827;0,0000;0,2409
35;151,3464;153,4650;143,3625;2,1581;4,9462;5,0000;4,7207;0,0724;19,8192;20,0000;18,2419;0,3220;4,1769;4,3659;3,9613;0,0795;0,5337;1,0000;0,0000;0,2661
36;150,5237;153,4650;140,1538;2,9264;4,9346;5,1304;4,6352;0,1043;19,7213;20,0000;17,9643;0,3953;4,1572;4,2741;3,9834;0,0848;0,5359;0,7700;0,0000;0,2285
37;151,4465;153,4650;147,0865;2,0127;4,9444;5,0000;4,7009;0,0793;19,8420;20,0000;18,7566;0,2397;4,1625;4,3535;3,8252;0,0944;0,4836;0,8055;0,0000;0,2238
38;151,6220;153,4650;147,4676;1,8726;4,9623;5,1220;4,7747;0,0705;19,8234;20,1550;19,0409;0,2313;4,1703;4,3243;3,8585;0,0854;0,4697;0,8035;0,0092;0,2150
39;151,9533;153,4688;146,7403;1,8043;4,9780;5,0000;4,8209;0,0460;19,8198;20,1550;18,7416;0,2660;4,1996;4,3740;3,7710;0,0957;0,4882;0,8329;0,0000;0,2180
40;151,3059;153,4688;146,5772;2,0872;4,9664;5,0000;4,7751;0,0590;19,7542;20,1550;18,7127;0,2964;4,2119;4,4774;3,9910;0,0927;0,4939;0,9215;0,0500;0,1704
41;150,7807;153,4688;141,1994;2,7766;4,9563;5,0000;4,6919;0,0737;19,6973;20,1550;18,7010;0,3582;4,2229;4,6324;4,0759;0,1133;0,5261;0,9187;0,0809;0,2115
42;151,4842;153,4688;145,4483;2,2354;4,9910;5,0000;4,8624;0,0255;19,7480;20,1550;18,7471;0,3389;4,2558;4,8080;4,0462;0,1683;0,5828;0,9600;0,0568;0,1996
43;151,5762;153,4698;146,5460;2,1138;4,9944;5,1910;4,8172;0,0625;19,7138;20,1550;18,7111;0,3868;4,2982;4,7614;4,0156;0,1824;0,5853;1,0000;0,1585;0,1977
44;151,9292;153,4698;148,7547;1,5393;4,9813;5,0960;4,8244;0,0462;19,8025;20,0641;19,1361;0,2535;4,2268;4,5477;4,0138;0,1058;0,5691;0,8756;0,1609;0,1690
45;151,9763;153,4698;148,0480;1,3961;4,9874;5,1586;4,8748;0,0447;19,7946;20,0641;18,9554;0,2555;4,2481;4,5477;3,9735;0,1127;0,5574;1,0000;0,0283;0,1954
46;151,9015;153,4698;146,8300;1,5341;4,9786;5,0301;4,8247;0,0458;19,8017;20,0641;19,2415;0,2316;4,2638;4,6625;4,1063;0,1386;0,5143;0,9834;0,0000;0,1900
47;151,8213;153,4698;148,0119;1,4465;4,9913;5,1915;4,8247;0,0591;19,7736;20,0641;19,2529;0,2515;4,2402;4,5477;4,1255;0,0919;0,5316;0,7798;0,2893;0,1339
48;151,6631;153,4698;147,2754;1,7094;4,9726;5,0564;4,8247;0,0472;19,8131;20,0641;19,1237;0,2704;4,2132;4,4750;4,0162;0,0790;0,5644;0,9185;0,3602;0,1306
49;151,6789;153,4698;147,5477;1,9325;4,9641;5,0123;4,7618;0,0601;19,8298;20,0000;18,9132;0,2837;4,1965;4,5154;3,9621;0,0933;0,6056;0,9378;0,2798;0,1554
0;8,6970;37,8561;-2,5678;8,1830;2,5868;4,5321;0,6418;1,0879;13,4123;19,7673;5,3631;4,2284;3,9349;5,9983;2,0277;1,1855;0,5318;0,9920;0,0212;0,2942
1;97,3196;136,6540;81,0442;12,3715;3,1503;5,0000;1,4119;0,8840;15,8734;20,0000;8,8848;3,6210;4,1625;6,0000;2,0000;1,1321;0,5841;1,0000;0,0000;0,2570
2;99,4453;136,6540;81,0600;14,3181;3,1239;4,8260;1,4119;0,9765;16,3716;20,0000;10,3625;3,3850;4,0086;6,0634;2,0000;1,0648;0,5198;1,0000;0,0000;0,3124
3;103,8495;136,6540;80,8421;14,8445;3,4271;4,8260;1,3067;1,0298;16,6210;20,0000;7,7014;3,1765;4,0613;6,0000;2,0000;1,0549;0,4417;1,0066;0,0000;0,3343
4;109,3579;137,6339;80,8421;15,0220;3,5951;5,0000;1,0351;1,0521;17,4550;20,0000;8,8383;2,7642;3,8454;6,0000;2,0000;1,0538;0,3882;1,0000;0,0000;0,3813
5;112,1746;137,6339;85,1650;14,8949;3,4972;5,0000;1,0333;1,0560;18,2778;20,0000;12,6942;1,7012;3,7400;6,0000;2,0000;0,9843;0,3809;1,0000;0,0000;0,3419
6;114,2123;146,3976;86,8158;16,0411;3,5971;5,0000;1,3432;0,9885;18,4163;20,0000;12,9166;1,4239;3,3781;5,2919;2,0000;1,0689;0,3195;1,0415;-0,1410;0,3404
7;121,1168;153,5040;91,8786;16,2181;3,9329;5,0000;1,9041;0,7922;18,9225;20,0000;16,5135;1,0165;3,2835;5,2476;2,0000;1,1176;0,3570;0,9948;-0,0527;0,3368
8;122,8376;153,5040;91,5353;16,1518;4,0781;5,0000;2,4823;0,7715;18,9152;20,0000;17,4654;0,8050;2,7909;5,2401;2,0000;1,0432;0,2779;0,7784;-0,1813;0,2616
9;121,6033;153,5040;95,4669;15,9514;4,0057;5,0000;2,2898;0,7945;18,6992;20,0000;17,3646;0,7116;2,6950;5,7405;1,9830;0,9822;0,3526;0,7784;-0,1813;0,2512
10;125,1670;153,5040;91,7634;17,5039;4,0241;5,0000;1,6608;0,9382;18,6484;20,0000;16,9340;0,7673;2,5561;4,8965;2,0000;0,7148;0,3285;1,0000;0,0000;0,2442
11;134,6166;153,5040;88,4121;14,3647;4,5520;5,1746;0,7526;0,7991;18,7401;20,1051;17,4633;0,7145;2,5662;5,7709;2,0000;0,7259;0,2766;0,9386;0,0000;0,2478
12;130,8706;153,5040;105,7394;12,7604;4,5199;5,0000;3,1857;0,5191;18,8089;20,1051;17,3642;0,7245;2,5933;6,0000;2,0000;0,8478;0,3151;1,0000;-0,1624;0,2826
13;130,6633;153,5040;107,7077;15,9491;4,5741;5,0456;3,5154;0,4824;19,0648;20,0000;17,9612;0,7676;2,5529;6,0000;2,0000;0,7789;0,2951;1,0000;-0,0441;0,2939
14;134,3668;153,5040;101,8591;14,8198;4,6634;5,0566;2,8080;0,4844;19,1839;20,0000;17,3121;0,7226;2,7778;6,0000;2,0047;1,0083;0,2923;1,0000;-0,1960;0,3109
15;138,8842;153,5040;105,0980;14,0236;4,7995;5,0000;3,5024;0,3387;19,3315;20,1630;17,7930;0,7260;2,4981;4,1623;2,0266;0,4568;0,2360;1,0000;0,0000;0,2705
16;138,2618;153,5040;105,0980;13,8204;4,7484;5,0000;3,5024;0,3651;19,3503;20,0000;17,8236;0,7141;2,5088;3,2935;2,0266;0,3455;0,2061;0,7495;0,0000;0,2454
17;142,8558;153,5040;116,9119;10,0587;4,8752;5,1910;4,1854;0,2211;19,6265;20,0000;17,8490;0,5599;2,5016;3,4093;2,0000;0,3709;0,1852;0,8497;-0,0270;0,2647
18;143,4374;153,5040;120,5555;9,9030;4,8633;5,0000;4,2014;0,1901;19,5971;20,0240;18,3692;0,5029;2,5772;3,8668;2,0000;0,5347;0,1907;1,0000;0,0000;0,2445
