era;generation;difficultyMode;temp;wet;windStrength;eatPredator;eatHerbivore;agentIndex;score;hp;stamina;speed;tempResist;wetResist;fatSave;eatNeed;speedN;staminaN;hpLoseN;eatN;abilitiesBonus;hpPenalty;eatPenalty
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;22;9,090384;100;6,581726;4,133526;45,49892;51,42863;0,2785125;5,668294;0,8267052;0,3290863;0;0;10,09038;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;23;10,19443;100;15,93359;2,055142;39,24413;29,1828;0,9519236;2,304596;0,4110285;0,7966797;0;0;11,19443;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;24;9,833191;100;12,00318;2,955741;30,02338;52,74771;0,03421903;5,468351;0,5911483;0,600159;0;0;10,83319;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;25;6,109163;100;5,508704;3,526285;0,9170227;95,96165;0,8413966;5,488894;0,7052571;0,2754352;0;0;7,109163;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;26;6,777027;100;9,926335;2,646352;23,63524;70,75848;0,9410131;5,851258;0,5292704;0,4963168;0;0;7,777027;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;27;31,40867;100;17,46776;4,329125;-53,98417;73,54518;0,8924977;3,385037;0,865825;0,8733879;0;0;32,40867;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;28;17,86895;100;10,23437;4,785202;51,60358;67,19334;0,241236;2,703067;0,9570404;0,5117184;0;0;18,86895;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;29;18,2088;100;18,4753;2,769595;-46,01856;35,1755;0,6201733;2,963942;0,5539191;0,9237652;0;0;19,2088;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;30;2,583322;100;9,578012;0,7962226;83,76842;96,31725;0,562682;4,254346;0,1592445;0,4789006;0;0;3,583322;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;31;3,419488;100;12,4177;0,6106347;38,81746;71,1418;0,6992203;4,699514;0,1221269;0,620885;0;0;4,419488;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;32;5,919333;100;8,940626;2,600642;35,91249;95,37234;0,810683;3,496597;0,5201284;0,4470313;0;0;6,919333;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;33;1,56939;100;5,697496;0,9347973;90,32251;94,32234;0,834452;4,379961;0,1869595;0,2848748;0;0;2,56939;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;34;1,951984;100;5,360414;1,366091;53,80329;87,68914;0,2160033;2,937007;0,2732181;0,2680207;0;0;2,951984;1;0
